Pelvis,SpineNavel,SpineChest,Neck,ClavicleLeft,ShoulderLeft,ElbowLeft,WristLeft,HandLeft,HandTipLeft,ThumbLeft,ClavicleRight,ShoulderRight,ElbowRight,WristRight,HandRight,HandTipRight,ThumbRight,HipLeft,KneeLeft,AnkleLeft,FootLeft,HipRight,KneeRight,AnkleRight,FootRight,Head,Nose,EyeLeft,EarLeft,EyeRight,EarRight
-0.16423813 0.34551772 1.9253633,-0.13618249 0.18765905 1.8749392,-0.0553784 0.09495933 1.8207906,0.0401797 -0.075662374 1.7608684,0.029905437 -0.05535143 1.8010453,0.098190375 -0.04650703 1.9167869,0.33998066 0.049993977 1.9154407,0.498259 0.097285315 1.7724156,0.5347283 0.084803745 1.6902955,0.5738098 0.059911326 1.5996552,0.5716573 0.06568125 1.6668497,0.017190982 -0.040608108 1.7407088,0.043395013 0.02425512 1.638454,0.29535204 0.102771744 1.6116519,0.5130612 0.1376755 1.6302394,0.60010105 0.09741653 1.6487867,0.6920264 0.059011076 1.6394744,0.59836817 0.062574446 1.6368687,-0.1344356 0.32585752 2.0034938,0.2380678 0.27005956 2.0227766,0.053801045 0.57432055 2.080991,0.1746095 0.6790041 2.1557953,-0.19111237 0.3632462 1.8549095,0.12211192 0.38034856 1.6462567,-0.05241026 0.6578671 1.8049741,0.033233758 0.7852804 1.7520741,0.08653594 -0.1326299 1.7378876,0.23452789 -0.13380621 1.7060431,0.21479803 -0.17632343 1.7302004,0.12260829 -0.19729792 1.8031719,0.20763426 -0.16686943 1.6823938,0.08908899 -0.18159005 1.6513095
-0.16371784 0.34555796 1.9250511,-0.13491875 0.18794593 1.8749508,-0.055583507 0.09377305 1.8215796,0.043804422 -0.07392026 1.7604735,0.0334149 -0.05397179 1.8007383,0.10070899 -0.04616308 1.916945,0.3420173 0.05059052 1.9121981,0.49939317 0.09895742 1.7689393,0.53254503 0.10313715 1.6847181,0.55690366 0.06450748 1.5938771,0.5738644 0.087122604 1.6595653,0.019697815 -0.039515436 1.7406328,0.043398295 0.025343535 1.637946,0.29524133 0.10279565 1.6101563,0.51290876 0.13751632 1.6262323,0.6003656 0.1005739 1.6486884,0.6951924 0.06930301 1.6444647,0.60158235 0.060168233 1.6450872,-0.1342249 0.32609463 2.0032346,0.23742925 0.26778728 2.02259,0.05407916 0.5722816 2.079781,0.17434844 0.6767839 2.1552033,-0.1903129 0.36310887 1.8545495,0.12191971 0.379539 1.6451774,-0.05201824 0.6564706 1.8045526,0.0323065 0.785039 1.7529442,0.09138508 -0.12951578 1.736952,0.23836145 -0.14629614 1.7056756,0.21466036 -0.18562423 1.7314712,0.12105415 -0.19454116 1.804872,0.20840839 -0.17751294 1.6833522,0.08911016 -0.18196204 1.6525733
-0.16386725 0.34035808 1.9227128,-0.13610518 0.18301578 1.8722785,-0.05678574 0.08987986 1.8177357,0.044933096 -0.07573023 1.7561189,0.033552714 -0.056576543 1.7963985,0.098307624 -0.048282415 1.9137051,0.33835202 0.05034575 1.9128513,0.4925442 0.10497609 1.769032,0.51924795 0.10499329 1.6826342,0.557928 0.06997882 1.5955987,0.55172396 0.10295108 1.6526043,0.021053575 -0.04123222 1.7363778,0.04656732 0.02545803 1.6356076,0.2981864 0.10246939 1.6095482,0.5153329 0.13691723 1.6272445,0.6049454 0.10337811 1.6452802,0.6951782 0.07314241 1.6751583,0.6058199 0.06278501 1.6306413,-0.1333964 0.32085645 2.000326,0.2377265 0.26465106 2.0216799,0.06381017 0.5756829 2.0676281,0.19288695 0.6920538 2.095007,-0.19134416 0.3579436 1.8527256,0.12208201 0.3798379 1.6469884,-0.052551642 0.65710044 1.8033787,0.03221849 0.7854957 1.7530806,0.09332439 -0.13047756 1.7327523,0.23896769 -0.15841153 1.704818,0.21232654 -0.19482675 1.7317847,0.117467575 -0.19422662 1.8037236,0.20734555 -0.18841723 1.6833599,0.08870967 -0.1861482 1.6507986
-0.1656138 0.3265768 1.923036,-0.13312279 0.16900885 1.869307,-0.05607613 0.0714329 1.815174,0.050984107 -0.08835932 1.7402742,0.039494954 -0.07212092 1.7824159,0.10509895 -0.06731709 1.9013476,0.3435619 0.04239572 1.9125514,0.4966945 0.093582004 1.7623659,0.5675179 0.08627999 1.7048155,0.63630205 0.101832874 1.6301118,0.574519 0.080834806 1.6712997,0.025464505 -0.05294303 1.7230104,0.044192083 0.026071735 1.6279365,0.2989648 0.1055439 1.6069951,0.5189274 0.13762654 1.6282402,0.60753596 0.09601392 1.6397991,0.7012405 0.058854286 1.6457374,0.60573626 0.05788094 1.6247116,-0.13667099 0.3056131 2.0020173,0.24009697 0.25724006 2.0259697,0.055844337 0.5647814 2.0874808,0.17859769 0.673397 2.1571789,-0.19171281 0.34548068 1.851815,0.12504889 0.37906224 1.6442327,-0.052586243 0.6570246 1.8063915,0.033134475 0.7860608 1.7529552,0.10126975 -0.14051265 1.7122929,0.25154358 -0.16551167 1.700777,0.22337496 -0.20000306 1.7299098,0.121040575 -0.19490847 1.7933805,0.22268605 -0.19962472 1.6802077,0.10614048 -0.2065019 1.6367706
-0.16207956 0.3198162 1.9174664,-0.13288905 0.16354874 1.8659711,-0.0568377 0.06754146 1.8126302,0.04253631 -0.09564213 1.7430067,0.030804861 -0.07878196 1.7840651,0.095090315 -0.07712873 1.9015076,0.33312994 0.024203584 1.9095283,0.49265924 0.08083899 1.7733774,0.53817695 0.07857678 1.6955463,0.5828627 0.08507216 1.6049693,0.55964744 0.07319781 1.6664495,0.019763608 -0.059624575 1.7250377,0.047050964 0.014133118 1.6302316,0.29447305 0.099999994 1.5991905,0.5119967 0.123812504 1.6218408,0.6000157 0.08602433 1.6378229,0.69097143 0.047562316 1.6258118,0.59565604 0.045657855 1.630974,-0.1330486 0.29962143 1.9952058,0.23894417 0.26302278 2.0249717,0.059459165 0.567271 2.0852902,0.17906417 0.6729097 2.1582627,-0.18825805 0.33802673 1.8473654,0.124987364 0.38001832 1.6463292,-0.051454857 0.65508616 1.8023485,0.03142748 0.7849533 1.7540938,0.090164386 -0.14970715 1.7172661,0.2343902 -0.18790415 1.6974475,0.20611753 -0.217487 1.7302196,0.11099869 -0.19979599 1.7990577,0.20183273 -0.22006255 1.681504,0.08398628 -0.21933247 1.6472703
-0.16808443 0.2822726 1.9187516,-0.13559279 0.12434985 1.8579501,-0.05822163 0.024857782 1.8023449,0.043653302 -0.13856909 1.7193753,0.03125664 -0.12423501 1.762758,0.0902462 -0.13041484 1.8874406,0.3294174 -0.012907259 1.9025466,0.4858964 0.04278917 1.7522274,0.5462771 0.03259573 1.6822261,0.60083634 0.044377953 1.5940417,0.5772778 0.02738163 1.6595086,0.020658143 -0.09996611 1.7033985,0.04497946 -0.011160858 1.6158988,0.30134395 0.07613256 1.5910547,0.5262857 0.08256554 1.6197248,0.6166443 0.03940066 1.6201825,0.70007336 0.018262088 1.6760051,0.60770375 -0.0010928623 1.6105269,-0.14360486 0.25631005 1.9992671,0.24146171 0.26768425 2.0325043,0.04034987 0.56990474 2.1015797,0.17607892 0.6752357 2.1583526,-0.19015872 0.3056842 1.8461472,0.13058609 0.37618434 1.642822,-0.056640595 0.65538466 1.8054138,0.034370244 0.78500485 1.75413,0.092595756 -0.19264352 1.6892847,0.24776849 -0.1916576 1.69215,0.22263788 -0.22247209 1.7287767,0.1136062 -0.2199809 1.7844384,0.2266736 -0.23532815 1.680109,0.115765356 -0.27518487 1.634011
-0.16948542 0.24504326 1.9133358,-0.13217723 0.09546739 1.8467686,-0.04824432 0.004544825 1.7947198,0.043255515 -0.15944025 1.7141472,0.032377206 -0.14456801 1.7564409,0.09679593 -0.15310903 1.874256,0.33240044 -0.04358536 1.8862853,0.48720986 0.011579648 1.7425984,0.5183596 0.022944346 1.6582502,0.55890226 0.011901593 1.5656351,0.5428707 0.015642133 1.6258541,0.022173543 -0.12109402 1.6985027,0.04951138 -0.038194783 1.6107445,0.29467967 0.05857528 1.5831472,0.5148676 0.056777764 1.6027232,0.6068647 0.025105944 1.6102223,0.70059603 -0.0047290437 1.6280406,0.6070101 -0.020931961 1.5937674,-0.15463206 0.21379557 1.9918737,0.20087582 0.33215234 2.0316586,-0.00414519 0.6062432 2.143528,0.12027206 0.7230659 2.1878371,-0.18287934 0.27322072 1.8425146,0.120427 0.37635893 1.6449311,-0.054051876 0.6531888 1.8041134,0.03319123 0.7812021 1.7559552,0.08832459 -0.21433264 1.6847056,0.23209867 -0.26021415 1.6748077,0.20111533 -0.2855298 1.7090786,0.103728145 -0.25746936 1.7720488,0.19865471 -0.29255942 1.6604354,0.08184738 -0.29032752 1.620959
-0.1705171 0.22772606 1.9074676,-0.136294 0.07368539 1.8457031,-0.055500306 -0.022002906 1.7940478,0.038544163 -0.18916608 1.718316,0.027075872 -0.17302468 1.7604508,0.09208895 -0.17246409 1.8796526,0.33045036 -0.06270016 1.8742194,0.48274547 -0.010756332 1.723755,0.49000058 0.0013122996 1.6333843,0.50833005 -0.018190179 1.534303,0.5270021 0.0021540653 1.5974025,0.017200958 -0.15105693 1.7012423,0.0433134 -0.07024068 1.6096464,0.28830338 0.030584097 1.5730472,0.51071596 0.029967934 1.5903741,0.6029711 -0.0020153336 1.6031805,0.7019691 -0.021358987 1.604652,0.61195666 -0.038342163 1.5928946,-0.15267122 0.19963159 1.9874234,0.2155393 0.28677678 2.0250385,0.04143347 0.5913635 2.1197648,0.17818639 0.6973672 2.1612878,-0.18660952 0.25306007 1.8353679,0.121707246 0.37339026 1.6489853,-0.055208817 0.6537837 1.8068849,0.033759482 0.7804196 1.7534996,0.08462004 -0.24510604 1.6906095,0.2308754 -0.28666353 1.6773015,0.19995353 -0.3165013 1.7086052,0.10048573 -0.2974774 1.7737436,0.19805433 -0.3183381 1.6590153,0.0804947 -0.31457543 1.6183634
-0.1668275 0.17636076 1.8996037,-0.12784113 0.02448769 1.8301772,-0.05307965 -0.07537746 1.7733325,0.039063387 -0.24311027 1.6901366,0.028303787 -0.2279531 1.7334268,0.08313064 -0.24308124 1.8585057,0.3217212 -0.12650579 1.8644983,0.46267593 -0.056270406 1.706708,0.47678676 -0.037217915 1.6172413,0.49263507 -0.026337758 1.515176,0.51247174 -0.016554907 1.5891386,0.017609268 -0.20382318 1.6743724,0.039253637 -0.119199656 1.5830014,0.29083002 -0.022366516 1.558947,0.5152269 -0.0083931815 1.5793437,0.60840166 -0.043294154 1.5849689,0.69804746 -0.08541109 1.6096991,0.614184 -0.08697912 1.574536,-0.14868042 0.14460957 1.9792511,0.21313041 0.27017897 2.0165586,0.033101395 0.5752219 2.115424,0.17219806 0.68070036 2.1595879,-0.18319151 0.20499219 1.8277822,0.117717385 0.3626802 1.6479592,-0.055045143 0.65291005 1.80293,0.035312638 0.78359663 1.7559911,0.08463739 -0.29931936 1.6596687,0.23780712 -0.28355822 1.6717429,0.2144366 -0.320661 1.7029129,0.103769235 -0.33546278 1.7517107,0.22204927 -0.32712087 1.6536607,0.11870642 -0.37164286 1.5971131
-0.15867585 0.15478288 1.8927351,-0.1183856 0.002442524 1.8250393,-0.04694172 -0.09991187 1.7683096,0.04164139 -0.269088 1.6841024,0.03184565 -0.25364265 1.7275267,0.091654524 -0.27189323 1.8498977,0.32524335 -0.14542565 1.8462757,0.4235087 -0.07839156 1.6576934,0.4499204 -0.05113929 1.5732627,0.48082247 -0.032223053 1.4759123,0.5203266 -0.058908872 1.5572994,0.020388514 -0.2295903 1.6685739,0.044533707 -0.14584264 1.5769982,0.29314503 -0.041607387 1.5526297,0.5169924 -0.030618753 1.5800354,0.6091327 -0.06856822 1.5820411,0.7021625 -0.10915997 1.593108,0.6135664 -0.11292426 1.5673202,-0.13845171 0.12467192 1.9725325,0.21750684 0.2651435 2.0133886,0.043629482 0.5745921 2.1097317,0.1827381 0.6768337 2.1610012,-0.17691284 0.18193525 1.8207784,0.11319116 0.36558396 1.6478562,-0.05381942 0.6568687 1.8072157,0.041644614 0.78126377 1.7536719,0.08597456 -0.3259713 1.6530328,0.23298223 -0.2815557 1.669701,0.21643433 -0.32324824 1.6994177,0.109535225 -0.3601952 1.7447964,0.22628888 -0.3268443 1.6502634,0.13472486 -0.38880128 1.5899196
-0.14163071 0.10536614 1.8679223,-0.102548465 -0.04806824 1.8029127,-0.040561683 -0.15740877 1.7488213,0.033455774 -0.33873564 1.6779279,0.02464056 -0.31955916 1.7199497,0.06254023 -0.34327045 1.8496054,0.29189026 -0.21767606 1.8058696,0.3890037 -0.15455395 1.6158739,0.41439646 -0.076478206 1.5735201,0.48166525 -0.035409726 1.5061781,0.49889767 -0.07610992 1.5729864,0.015960876 -0.2987864 1.6594386,0.03524361 -0.2270655 1.5574434,0.28499505 -0.12710242 1.5328572,0.5066725 -0.09376542 1.5557265,0.5955938 -0.13658006 1.5681418,0.69234645 -0.16854522 1.5684614,0.59997374 -0.16333236 1.5418762,-0.12335671 0.07597969 1.9482654,0.20911267 0.25952685 2.005617,0.0461192 0.5750047 2.0985615,0.17891419 0.6774398 2.1631813,-0.15810919 0.1318652 1.7954733,0.112354636 0.36271402 1.6514062,-0.05454044 0.6566047 1.8042319,0.034146603 0.7871699 1.7549186,0.072832696 -0.40116218 1.6515812,0.22053458 -0.44415283 1.641472,0.1880503 -0.47494817 1.6711369,0.085722625 -0.45679438 1.734317,0.18770222 -0.47523043 1.6209785,0.07035657 -0.46899015 1.5763521
-0.12616046 0.07687703 1.8647684,-0.08866234 -0.076980785 1.8011507,-0.031858608 -0.1888128 1.747469,0.033624925 -0.37055922 1.6712329,0.027506854 -0.3516999 1.7137221,0.0792433 -0.379007 1.8373246,0.30247176 -0.2466497 1.7870219,0.33190495 -0.1944874 1.5733893,0.3734171 -0.11344255 1.5872941,0.4474005 -0.06617226 1.5327399,0.44792816 -0.11545053 1.5688875,0.016247086 -0.3301077 1.6541301,0.036263324 -0.2577998 1.5531492,0.2831635 -0.15458363 1.5225619,0.5055819 -0.1316111 1.5445282,0.59562135 -0.16968016 1.5612727,0.6947707 -0.19167313 1.5583876,0.60135543 -0.20180506 1.5347469,-0.10600288 0.04869213 1.9448142,0.21003439 0.25611377 2.0060854,0.040498465 0.5652379 2.1043139,0.17131284 0.67473626 2.159206,-0.14433743 0.10229259 1.7925875,0.107920155 0.35523853 1.6557432,-0.05385445 0.65345246 1.8029823,0.028901428 0.7876009 1.754596,0.06989973 -0.43344724 1.6423312,0.21498708 -0.48037368 1.6229482,0.18324293 -0.5110713 1.6532267,0.085319564 -0.49204132 1.7221842,0.1802415 -0.5096488 1.6033227,0.061305635 -0.49839422 1.565425
-0.11491378 0.044522747 1.8606972,-0.0792339 -0.10845712 1.7934164,-0.02689971 -0.22150776 1.7373385,0.034538455 -0.40582365 1.6631842,0.029156236 -0.38619334 1.7054918,0.075076245 -0.41437608 1.8313745,0.308368 -0.29679772 1.7887728,0.34137625 -0.24219945 1.5759683,0.35980442 -0.1529286 1.5900548,0.42327166 -0.08785343 1.5405617,0.43222675 -0.13584813 1.5677994,0.017747201 -0.36525667 1.645603,0.033694122 -0.2982808 1.5401136,0.2810643 -0.19435269 1.5127693,0.50191116 -0.16048001 1.5390952,0.5946109 -0.19322902 1.5531313,0.69565195 -0.20462066 1.5498365,0.6025448 -0.23518023 1.5317355,-0.09544408 0.014091708 1.9402149,0.2039867 0.24571672 2.001341,0.042841807 0.5576258 2.106452,0.17166132 0.6689864 2.1630626,-0.13247046 0.07196376 1.7889925,0.09866594 0.34816328 1.6585367,-0.054317877 0.65363574 1.801457,0.03344215 0.78701884 1.7594498,0.069405496 -0.46989673 1.6348796,0.2148599 -0.51490694 1.6123466,0.18410337 -0.546162 1.6431941,0.08723928 -0.52862936 1.7142935,0.18006064 -0.5446089 1.5933012,0.060080983 -0.5347772 1.557827
-0.0942462 -0.0059941974 1.8447478,-0.06762267 -0.16222742 1.7769078,-0.022807222 -0.2789085 1.718841,0.03195606 -0.47021198 1.6523886,0.030120833 -0.44745457 1.6938859,0.08662453 -0.45771447 1.8195187,0.2832963 -0.31803724 1.7049924,0.33261025 -0.27236816 1.4911863,0.41442287 -0.23108543 1.5073247,0.49127844 -0.17181964 1.5458344,0.43202898 -0.20637198 1.5231284,0.013828084 -0.4304322 1.6332759,0.02886308 -0.36457175 1.5256398,0.27981836 -0.26263067 1.499973,0.50307405 -0.22780772 1.5212942,0.59361726 -0.26834756 1.5352914,0.6949783 -0.28295538 1.5420599,0.60745794 -0.28981593 1.5056264,-0.07071253 -0.03640691 1.9240229,0.18073553 0.24832934 1.9971621,0.030465111 0.55481756 2.1391697,0.15603885 0.6794155 2.1776068,-0.11546754 0.021430282 1.7732619,0.07640384 0.34051523 1.6698291,-0.059713572 0.66139555 1.8042951,0.033684436 0.79195833 1.7599046,0.06436856 -0.5370338 1.62565,0.20786896 -0.5954712 1.615501,0.1713041 -0.6244891 1.6428195,0.06924985 -0.59898245 1.7055947,0.17216381 -0.62173855 1.5923797,0.05645547 -0.6000693 1.5457834
-0.09217016 -0.023383897 1.8417233,-0.06489787 -0.18380514 1.7755697,-0.021274704 -0.30468887 1.7189631,0.029123697 -0.49895677 1.6453902,0.027274454 -0.47719425 1.6884245,0.07048337 -0.49505183 1.8211815,0.30638808 -0.3613692 1.7986593,0.42274487 -0.3273921 1.6051242,0.4414789 -0.24499679 1.562127,0.46611038 -0.14398155 1.5395918,0.428734 -0.2202582 1.526749,0.012386989 -0.4571641 1.6270447,0.02808683 -0.38085753 1.5236192,0.28382972 -0.27560484 1.5042704,0.51295453 -0.2512891 1.5239773,0.6010939 -0.29998276 1.5407473,0.701147 -0.33035302 1.5391356,0.6046834 -0.32422426 1.499854,-0.068338975 -0.05288826 1.9230953,0.17942385 0.24412812 1.9989965,0.019222662 0.5589337 2.1299014,0.15826118 0.6720708 2.1733844,-0.113659784 0.003221484 1.7683465,0.07775539 0.3348385 1.6765738,-0.06801213 0.66016674 1.8100564,0.02164165 0.7923503 1.7527015,0.06031786 -0.56715524 1.6163288,0.20760703 -0.6243629 1.6083053,0.17116177 -0.65290886 1.6382041,0.06717343 -0.62512064 1.7014006,0.17158723 -0.65320605 1.5867288,0.052912302 -0.63633597 1.5390517
-0.07702233 -0.051010262 1.8354015,-0.050473165 -0.20992638 1.7672502,-0.015344717 -0.33266157 1.7101394,0.031213176 -0.52951765 1.6437998,0.025699385 -0.50734824 1.686086,0.048947982 -0.5311316 1.8222582,0.2701751 -0.3885929 1.8868163,0.4256357 -0.34536305 1.7265426,0.44705096 -0.27256256 1.6703554,0.44348243 -0.19853222 1.5946374,0.4255603 -0.27649415 1.6019529,0.019352162 -0.48715368 1.6235844,0.04057783 -0.4221335 1.5142623,0.29109251 -0.30849886 1.4905858,0.51747835 -0.28032476 1.5221761,0.6038764 -0.33304828 1.5126055,0.6927345 -0.36461136 1.5568157,0.5989227 -0.36118555 1.503435,-0.052412197 -0.08138338 1.9158131,0.17564617 0.2290771 1.991342,0.019162342 0.5457759 2.1176834,0.14700666 0.6711547 2.1586888,-0.09921437 -0.023621488 1.7628909,0.06272549 0.32451236 1.6832188,-0.069427185 0.6576422 1.8068489,0.02719403 0.7876679 1.758651,0.061263047 -0.59946346 1.6188885,0.20461476 -0.66469896 1.6142008,0.16571566 -0.6917351 1.6419178,0.06176901 -0.6597247 1.70211,0.16792433 -0.69069266 1.5907083,0.05264125 -0.6657418 1.5397849
-0.045619868 -0.096369304 1.8222603,-0.02404068 -0.25688007 1.7550868,0.0021235254 -0.38263923 1.698982,0.032937147 -0.5842199 1.636206,0.033562772 -0.560103 1.6779002,0.07856977 -0.5718893 1.8104633,0.3030089 -0.41986096 1.7939808,0.43014997 -0.3689832 1.611761,0.46045953 -0.33329472 1.5295213,0.4420183 -0.23800474 1.5726116,0.3795112 -0.32502696 1.4894966,0.020151826 -0.5421537 1.6156737,0.03145484 -0.47812286 1.5039746,0.28156632 -0.3621546 1.4800998,0.5095069 -0.33800957 1.5073271,0.59864974 -0.38722134 1.5035449,0.6865802 -0.4163479 1.5516622,0.59597 -0.41472554 1.4939886,-0.015846273 -0.12556154 1.9015796,0.15329836 0.21842569 1.9902248,0.011137977 0.5451211 2.1103997,0.13996063 0.67014915 2.1512673,-0.07246803 -0.07004539 1.7507346,0.03648071 0.30361503 1.6962358,-0.065320164 0.6519755 1.808722,0.029451929 0.78305644 1.7584221,0.05714003 -0.6564601 1.6108989,0.1986966 -0.72546947 1.5991243,0.15991336 -0.75244546 1.6273032,0.05873239 -0.71966326 1.6921878,0.16044804 -0.74970746 1.5759958,0.044016443 -0.71988475 1.5297945
-0.038660027 -0.11175535 1.8120315,-0.021185221 -0.27405268 1.7475588,0.00034358725 -0.40189257 1.6938927,0.027291745 -0.60282326 1.6266927,0.02862376 -0.57956517 1.66891,0.079546824 -0.5877407 1.7997404,0.29812035 -0.42668086 1.7860084,0.44616604 -0.3752937 1.6201707,0.4777435 -0.3361144 1.5399132,0.4364958 -0.24224547 1.5679595,0.47566453 -0.35587162 1.4963255,0.015071351 -0.5600884 1.6071053,0.02728274 -0.48790392 1.5004388,0.2816736 -0.37965447 1.4833113,0.51185036 -0.36752614 1.4993823,0.60592186 -0.4068776 1.4971193,0.6881117 -0.4387955 1.553182,0.60700995 -0.4324483 1.4808114,-0.009063704 -0.14024542 1.8917716,0.14114729 0.21067096 1.9887038,-0.00021465123 0.5421488 2.0973344,0.13084497 0.6627518 2.1446934,-0.065348335 -0.08606459 1.7401264,0.02118171 0.29649246 1.7096226,-0.07041944 0.6519043 1.809368,0.03302837 0.7763343 1.7587068,0.050100375 -0.6749956 1.5997007,0.19278997 -0.738084 1.5742428,0.1582779 -0.76629037 1.6065725,0.06277418 -0.7368588 1.681177,0.15346222 -0.7643295 1.555402,0.031604193 -0.74024665 1.5209966
-0.029590843 -0.12139438 1.8042699,-0.010472652 -0.28499874 1.7402781,0.008728828 -0.41473073 1.6877549,0.027024722 -0.61833966 1.6210299,0.029360322 -0.5948104 1.6634322,0.07746136 -0.6105452 1.7956735,0.31297433 -0.47128215 1.7878774,0.44761038 -0.41482392 1.6104989,0.49453878 -0.35207683 1.5561154,0.44443524 -0.25801533 1.5659679,0.48855868 -0.3813065 1.4906386,0.016630046 -0.574904 1.6011032,0.029161131 -0.5114655 1.4880255,0.27779013 -0.38763297 1.5131673,0.49162847 -0.37210885 1.6034685,0.5716527 -0.37348154 1.5391207,0.6635917 -0.42298737 1.5519171,0.5782319 -0.42706725 1.5164648,0.0051751602 -0.1482033 1.8831974,0.13193883 0.21270521 1.9876686,-0.0060316324 0.54651254 2.102341,0.13023722 0.6648747 2.1453953,-0.060940877 -0.0972196 1.7330974,0.009365164 0.29234284 1.7190231,-0.073134385 0.65426296 1.8131393,0.03399565 0.7757694 1.7592297,0.046804987 -0.69206583 1.5942008,0.18942179 -0.7588545 1.571124,0.15390384 -0.7858418 1.6040453,0.05778368 -0.7526891 1.6777276,0.1494671 -0.7849562 1.5524563,0.027510367 -0.7591986 1.5163306
-0.0050476925 -0.13958396 1.7959598,0.0061144936 -0.30555457 1.7334129,0.017459856 -0.43763116 1.6823008,0.025199316 -0.6432166 1.615625,0.031463612 -0.6193712 1.6577685,0.101585984 -0.6212013 1.7816926,0.32853675 -0.4684713 1.7509903,0.4751279 -0.40987313 1.5822991,0.4940756 -0.33510852 1.5252727,0.44012272 -0.25212967 1.5675722,0.4797791 -0.35060924 1.4654737,0.014384389 -0.5993886 1.596101,0.02918633 -0.5289829 1.4866229,0.28917855 -0.42378137 1.4840274,0.50954765 -0.4336948 1.5619926,0.58081686 -0.42591822 1.4876494,0.6813636 -0.45883563 1.4882578,0.5833574 -0.44178268 1.4657762,0.03650223 -0.16560486 1.8724222,0.123989575 0.20409092 1.9936756,0.00017083436 0.54649067 2.1062899,0.13295145 0.670155 2.1498969,-0.042515088 -0.11611977 1.7270104,-0.003468357 0.28020594 1.7365257,-0.06843047 0.650679 1.8193046,0.03272479 0.7745641 1.7568594,0.040980134 -0.71803117 1.587786,0.18562311 -0.78530556 1.5745841,0.14897324 -0.8102604 1.6083887,0.049538754 -0.77246 1.6764401,0.14631543 -0.8132812 1.5564628,0.024817199 -0.7913814 1.5141234
0.004852562 -0.14975044 1.7856728,0.014661803 -0.31449863 1.7239035,0.022977728 -0.44608584 1.6742778,0.02616965 -0.65155303 1.6129581,0.03433624 -0.6269564 1.6538516,0.109265335 -0.62850046 1.7735224,0.3345345 -0.477947 1.7404592,0.4732271 -0.42134222 1.5671242,0.4928617 -0.33781767 1.5260793,0.44222963 -0.25328618 1.5670949,0.47800842 -0.34700266 1.460516,0.014996194 -0.60848033 1.592998,0.027039051 -0.5408735 1.4827338,0.28342295 -0.43330115 1.4758799,0.50317156 -0.43982854 1.5499737,0.5839446 -0.4298234 1.4878165,0.6780947 -0.47487658 1.477237,0.5911526 -0.462863 1.4576312,0.049464215 -0.17487521 1.859769,0.10546995 0.19707529 1.9817615,0.0048558116 0.5406615 2.1027637,0.13152237 0.66726327 2.1493366,-0.035375725 -0.12709433 1.7188569,-0.01962111 0.26708758 1.7389066,-0.062698245 0.6384177 1.8169775,0.032446064 0.7690388 1.7633965,0.040024765 -0.7265302 1.586562,0.18332523 -0.7939516 1.5759972,0.14580539 -0.8193305 1.6076953,0.04544437 -0.78296494 1.6731554,0.14472875 -0.8208864 1.5560868,0.025747411 -0.7970988 1.5110743
0.010210586 -0.15359718 1.7845911,0.019406497 -0.3176906 1.7220283,0.023859434 -0.44954348 1.6734477,0.025779992 -0.6554242 1.6150825,0.03447059 -0.63033736 1.6554483,0.111189455 -0.6317863 1.7736328,0.33890563 -0.48411062 1.7505001,0.48450685 -0.4354894 1.5810771,0.49657115 -0.35089946 1.539747,0.44306278 -0.26165828 1.5624905,0.4740219 -0.35485524 1.4744058,0.0145140095 -0.6126898 1.5946981,0.02258675 -0.54675347 1.4833813,0.27661937 -0.4350413 1.478939,0.49965456 -0.42939645 1.5407695,0.5846263 -0.43171358 1.484033,0.6800941 -0.47429004 1.4782342,0.5902481 -0.4629357 1.4581935,0.053130325 -0.17961839 1.8591497,0.100223765 0.19366449 1.9781542,0.010365762 0.54121995 2.0937264,0.13308665 0.6669918 2.1504807,-0.028492033 -0.1301327 1.7173584,-0.024735983 0.26320454 1.7429826,-0.064951494 0.635234 1.81517,0.032239832 0.7659354 1.7668331,0.03909729 -0.73064405 1.5896264,0.18150356 -0.7990636 1.5783383,0.14354126 -0.8248961 1.6089246,0.043204866 -0.78945684 1.6744357,0.14288951 -0.82496786 1.5573924,0.024784848 -0.7987391 1.5121963
0.009993065 -0.15375784 1.7845563,0.019097105 -0.31783777 1.7219056,0.023309609 -0.44971555 1.673339,0.024474833 -0.6555987 1.6149005,0.03332337 -0.63055 1.6552603,0.11033879 -0.6321764 1.7732627,0.33849442 -0.4852842 1.7492347,0.48384207 -0.4372965 1.5793893,0.49621007 -0.35266802 1.5382109,0.44306847 -0.2632562 1.5611825,0.47366863 -0.35613212 1.4730405,0.013301078 -0.61281955 1.59455,0.021290358 -0.5470908 1.4830925,0.2758091 -0.43645507 1.4781892,0.49902403 -0.43138528 1.5394874,0.5839503 -0.4336753 1.4826672,0.67942905 -0.47623235 1.4767582,0.5896853 -0.46459612 1.4569935,0.052926935 -0.1798368 1.8590951,0.100121304 0.19339056 1.9783368,0.010314762 0.5408774 2.094252,0.13323794 0.666421 2.1511211,-0.028722294 -0.1302413 1.7173413,-0.024837898 0.26310414 1.7432988,-0.06501187 0.6350851 1.8159168,0.032356963 0.7658029 1.7679353,0.037508972 -0.73085743 1.5893925,0.17945518 -0.80007 1.5770202,0.14154497 -0.82575274 1.6078044,0.04183881 -0.7898787 1.6740557,0.14055334 -0.82571054 1.5562735,0.022296213 -0.7987093 1.5119094
