Pelvis,SpineNavel,SpineChest,Neck,ClavicleLeft,ShoulderLeft,ElbowLeft,WristLeft,HandLeft,HandTipLeft,ThumbLeft,ClavicleRight,ShoulderRight,ElbowRight,WristRight,HandRight,HandTipRight,ThumbRight,HipLeft,KneeLeft,AnkleLeft,FootLeft,HipRight,KneeRight,AnkleRight,FootRight,Head,Nose,EyeLeft,EarLeft,EyeRight,EarRight
0.0038278745 -0.17000395 1.7480989,0.004737952 -0.3289931 1.6971184,0.0044613197 -0.45629227 1.6569698,-0.012558967 -0.65354145 1.611292,-0.0038558654 -0.6286973 1.6488585,0.05320272 -0.6324309 1.7698087,0.24316521 -0.4818249 1.859904,0.4397276 -0.4145196 1.7970574,0.50946224 -0.37616056 1.7547854,0.58935183 -0.33166066 1.7116145,0.47162977 -0.30819845 1.7258376,-0.017525472 -0.613167 1.5893726,-0.0191011 -0.5451385 1.4868171,0.21615201 -0.42838222 1.4652822,0.4312048 -0.3866978 1.4834926,0.5178547 -0.42636412 1.5017564,0.61167073 -0.45855272 1.5082893,0.5179782 -0.43093666 1.464421,0.0496052 -0.19175594 1.8167524,0.0664003 0.18135442 1.7871035,-0.019137949 0.52703273 1.8244978,0.13260782 0.5999813 1.8733944,-0.037451554 -0.15038922 1.686191,-0.020677136 0.22094032 1.7298199,-0.10009133 0.5650387 1.8086228,0.009981245 0.6821462 1.7948234,-0.006673679 -0.7271314 1.5914356,0.13011615 -0.78137285 1.5604198,0.099546 -0.81016356 1.5917331,0.010622188 -0.7873415 1.6668845,0.092962265 -0.80729717 1.543332,-0.024942875 -0.7880007 1.5157369
0.0038761112 -0.17017564 1.7481655,0.00478516 -0.32916564 1.697182,0.004509204 -0.45646518 1.6570301,-0.012496003 -0.65372753 1.6113944,-0.003796162 -0.62887424 1.6489563,0.053913467 -0.63294476 1.7695876,0.24442944 -0.48277077 1.859242,0.4407205 -0.415223 1.7958026,0.5102697 -0.3766119 1.7534528,0.58996177 -0.33184335 1.7101922,0.4722442 -0.30843836 1.7251396,-0.017464276 -0.6133578 1.5894657,-0.019035289 -0.54535425 1.4868921,0.21621944 -0.42860055 1.4653286,0.43126917 -0.38688862 1.4835382,0.51793295 -0.42652544 1.5018053,0.61046803 -0.46177346 1.5104814,0.5180385 -0.43111256 1.4644452,0.049652144 -0.19192949 1.8168204,0.06678946 0.18120956 1.7876856,-0.018757567 0.5268239 1.8256807,0.13301215 0.60000956 1.8741533,-0.03740215 -0.15055925 1.6862563,-0.020670611 0.22079787 1.7296988,-0.099869065 0.56499946 1.8082844,0.010292821 0.6818165 1.7928178,-0.006604842 -0.7273222 1.5915542,0.13023126 -0.7816592 1.5609049,0.09960692 -0.8103643 1.5922447,0.010562114 -0.7873347 1.6671913,0.093102306 -0.80762535 1.5438249,-0.024756916 -0.7883905 1.5159864
0.0049315146 -0.17121567 1.7507374,0.004544076 -0.33023807 1.699087,0.0030091968 -0.45759907 1.6585389,-0.013301466 -0.6550374 1.6121502,-0.0049050944 -0.6302414 1.6498969,0.0529519 -0.6357201 1.7706096,0.24181405 -0.48432845 1.8627262,0.43500736 -0.40862244 1.7979625,0.50855863 -0.37679598 1.7564723,0.5875687 -0.3334077 1.71032,0.47169912 -0.3090799 1.7254605,-0.018202357 -0.6145576 1.590273,-0.018989597 -0.54573655 1.4880294,0.21732897 -0.43019542 1.4670653,0.43235493 -0.38658407 1.4848164,0.5192441 -0.42666513 1.5017141,0.6135496 -0.4582713 1.5056677,0.5180987 -0.43163252 1.4634364,0.050765228 -0.19359663 1.8193007,0.06952603 0.17992178 1.7892923,-0.016409785 0.5252398 1.8333466,0.13414514 0.6056363 1.8745229,-0.03639876 -0.15103377 1.688911,-0.019442901 0.22039302 1.7360313,-0.09507893 0.56778896 1.8059229,0.00659585 0.6872195 1.8445568,-0.0071144863 -0.7286653 1.5921117,0.12956618 -0.7839178 1.5613722,0.09912402 -0.811969 1.5935919,0.0106300935 -0.78724 1.6689117,0.09220256 -0.8102004 1.5451155,-0.026025467 -0.7913125 1.5178528
0.001653216 -0.17150864 1.7548103,0.004972898 -0.33047622 1.7024963,0.005138711 -0.45801514 1.6619867,-0.011914655 -0.6554632 1.614915,-0.0035119103 -0.63078773 1.6528014,0.055871762 -0.6388018 1.7727951,0.2473748 -0.4913757 1.8666872,0.4389689 -0.41757825 1.7945722,0.51000667 -0.37955642 1.7537026,0.58919233 -0.3326249 1.7112157,0.47173876 -0.3094061 1.7260894,-0.01658003 -0.6148529 1.5931189,-0.01869593 -0.54599524 1.4907528,0.21753256 -0.4301288 1.46704,0.43251294 -0.38518667 1.4850695,0.5187498 -0.4258647 1.5043399,0.6129757 -0.45785478 1.5096644,0.5174333 -0.43216884 1.4650937,0.043334547 -0.19407567 1.8260301,0.07281205 0.1793251 1.7979981,-0.013933711 0.5260126 1.8317682,0.13090214 0.6085526 1.8874857,-0.03593267 -0.15115894 1.6905882,-0.019925967 0.22130205 1.7329671,-0.09427486 0.5691907 1.8038794,0.0073659346 0.6866671 1.8488314,-0.005983059 -0.7291403 1.5946547,0.1293716 -0.7855458 1.5596184,0.09947908 -0.81364876 1.5923982,0.013222903 -0.78876954 1.6704249,0.09126198 -0.8112945 1.544094,-0.027582884 -0.7908698 1.5202136
0.0026185696 -0.17105351 1.7557027,0.0042187646 -0.3307349 1.7036427,0.004972639 -0.458491 1.6623139,-0.011984311 -0.6565051 1.6145622,-0.0031499313 -0.6318535 1.6525576,0.058771394 -0.6402267 1.7717564,0.25128916 -0.49276492 1.8659761,0.44243744 -0.41810402 1.7913548,0.5127539 -0.3777138 1.7508252,0.592688 -0.3303057 1.7094525,0.47207344 -0.30726123 1.7255254,-0.01711259 -0.61569333 1.5929089,-0.019947905 -0.5460646 1.4905709,0.21775883 -0.43126127 1.4663559,0.43342298 -0.3858642 1.4843307,0.52051026 -0.424367 1.5058059,0.59338653 -0.4842497 1.5389957,0.51946044 -0.43085608 1.4646758,0.04590986 -0.19363834 1.8263068,0.06950632 0.18141638 1.7975097,-0.010807402 0.53058344 1.834588,0.13985246 0.6058803 1.886923,-0.03641909 -0.15068778 1.6920359,-0.020090396 0.22304595 1.7344974,-0.09590448 0.57211864 1.8044063,0.008730188 0.68630403 1.8528336,-0.0060113505 -0.73033446 1.593877,0.13121907 -0.786261 1.5634434,0.1002728 -0.8145727 1.595343,0.010981172 -0.7899574 1.6706128,0.09366641 -0.8123227 1.5466175,-0.024809353 -0.7924954 1.5185865
0.0026219091 -0.17104211 1.7556989,0.0042245854 -0.3307231 1.7036383,0.004983833 -0.45847827 1.6623071,-0.011958489 -0.65649205 1.6145495,-0.003125473 -0.631841 1.6525455,0.05877338 -0.64019686 1.771757,0.25124955 -0.4926939 1.8659966,0.44240203 -0.41801828 1.7914014,0.512721 -0.37762535 1.7508789,0.5926572 -0.330214 1.7095144,0.4720365 -0.30718285 1.7255589,-0.017090231 -0.61568 1.5928974,-0.019937174 -0.54605156 1.4905597,0.21774875 -0.43120754 1.466335,0.43340334 -0.38575405 1.4842805,0.52052647 -0.4242003 1.5057113,0.593472 -0.48402715 1.5388496,0.5194649 -0.4306843 1.464585,0.04591373 -0.19362651 1.8263028,0.06947549 0.1814283 1.7974831,-0.010870822 0.5305883 1.8345536,0.13975248 0.6059462 1.8869054,-0.036416233 -0.15067677 1.6920323,-0.020094324 0.22305639 1.7344986,-0.09591657 0.57212585 1.8044131,0.0087111 0.68631357 1.8528495,-0.005980126 -0.7303202 1.5938618,0.13126025 -0.78623426 1.5634509,0.1003111 -0.814549 1.5953449,0.011004664 -0.78994256 1.6705999,0.093712755 -0.812299 1.5466182,-0.024759926 -0.79248184 1.5185676
0.0026223978 -0.17104152 1.7556994,0.0042247223 -0.3307221 1.7036377,0.004983826 -0.4584769 1.6623057,-0.01195858 -0.65649 1.6145461,-0.003125323 -0.6318394 1.6525422,0.05876933 -0.6401944 1.7717559,0.25123933 -0.49268764 1.8660017,0.44239348 -0.41801053 1.7914128,0.51271343 -0.37761724 1.7508925,0.59265053 -0.33020544 1.7095304,0.472029 -0.3071757 1.72557,-0.01709053 -0.6156778 1.5928944,-0.019939348 -0.54604894 1.4905572,0.21774375 -0.4312002 1.4663299,0.43339694 -0.3857382 1.4842678,0.5205274 -0.42417452 1.505686,0.5935091 -0.48397386 1.5387942,0.51946187 -0.43065694 1.4645603,0.0459142 -0.19362642 1.826303,0.06948131 0.18142839 1.797491,-0.01086279 0.5305879 1.8345687,0.1397614 0.6059406 1.8869252,-0.036415722 -0.15067571 1.692033,-0.020092955 0.22305691 1.7345014,-0.09591438 0.57212585 1.8044177,0.00871291 0.6863129 1.8528563,-0.0059802807 -0.73031795 1.5938576,0.13125853 -0.78623486 1.5634454,0.10030882 -0.8145493 1.5953391,0.011003301 -0.7899419 1.6705947,0.09371038 -0.8122984 1.5466124,-0.02476181 -0.7924779 1.5185622
0.002810575 -0.17062633 1.7564534,0.004561333 -0.33043876 1.704001,0.0055561243 -0.45827758 1.6622902,-0.011281555 -0.6563222 1.6133447,-0.002563754 -0.63184005 1.6515588,0.06017957 -0.64014024 1.7705572,0.2510888 -0.49141848 1.8671024,0.4404566 -0.41518065 1.7886881,0.5122307 -0.37603828 1.7492028,0.5934844 -0.3296527 1.7088856,0.47255027 -0.30465516 1.7244799,-0.016337413 -0.61533356 1.5918615,-0.018616421 -0.5450597 1.4897295,0.22022796 -0.43174827 1.4653931,0.43616432 -0.38651335 1.4844939,0.52365994 -0.4214424 1.5105801,0.59921795 -0.47636417 1.5466716,0.5234886 -0.42777255 1.465433,0.04598509 -0.19338246 1.8272281,0.07153827 0.18214329 1.7989546,-0.012153573 0.53094035 1.8371962,0.13278073 0.61053574 1.8993051,-0.036121786 -0.15010613 1.6926328,-0.020071268 0.22420648 1.7350342,-0.09445348 0.57428515 1.8042479,0.006467536 0.68657804 1.8643726,-0.005236009 -0.73014903 1.592253,0.13164668 -0.78751045 1.5618128,0.1008316 -0.814958 1.5947077,0.012240477 -0.7881175 1.6703237,0.09376256 -0.8138207 1.5459349,-0.025058411 -0.79406667 1.518518
0.0028145448 -0.1706263 1.7564608,0.0045662737 -0.33043674 1.7040062,0.0055630165 -0.45827377 1.6622931,-0.011269042 -0.65631676 1.6133453,-0.0025523314 -0.63183504 1.6515595,0.060180716 -0.6401303 1.7705625,0.25107056 -0.49139518 1.8671204,0.4404391 -0.41515118 1.7887183,0.5122137 -0.37600708 1.7492374,0.5934676 -0.3296194 1.7089248,0.47253188 -0.30462766 1.7245082,-0.01632566 -0.61532825 1.5918627,-0.01860619 -0.54505366 1.4897323,0.22023097 -0.43173045 1.4654006,0.43616244 -0.3864768 1.4844937,0.523675 -0.4213829 1.5105509,0.599336 -0.47621813 1.5465562,0.52349716 -0.42771223 1.4654182,0.045988195 -0.19338325 1.827235,0.07155271 0.1821419 1.799,-0.012155115 0.5309273 1.8372887,0.13278563 0.6105112 1.8993938,-0.036117032 -0.15010536 1.6926407,-0.020078223 0.22420588 1.7350348,-0.0944545 0.57428354 1.804246,0.0066935495 0.6865512 1.8640324,-0.005221459 -0.73014265 1.5922529,0.13166185 -0.7875064 1.5618254,0.100842744 -0.8149539 1.5947158,0.012245037 -0.7881139 1.6703228,0.09377892 -0.8138149 1.5459428,-0.025037743 -0.7940567 1.5185142
0.0028146177 -0.17062627 1.756461,0.0045663863 -0.3304367 1.7040064,0.0055631935 -0.4582737 1.6622932,-0.011268701 -0.65631676 1.6133453,-0.0025520278 -0.63183504 1.6515595,0.060181152 -0.6401302 1.7705625,0.2510709 -0.4913948 1.8671203,0.44043928 -0.41515058 1.788718,0.5122138 -0.3760064 1.749237,0.5934676 -0.3296186 1.7089243,0.47253183 -0.304627 1.7245077,-0.01632534 -0.61532825 1.5918627,-0.018605862 -0.5450536 1.4897323,0.22023119 -0.43173003 1.4654012,0.4361626 -0.38647607 1.4844942,0.52367544 -0.4213819 1.510551,0.5993375 -0.47621623 1.5465554,0.52349746 -0.42771104 1.4654185,0.04598825 -0.19338325 1.8272352,0.07155317 0.18214199 1.7990018,-0.012154638 0.53092724 1.8372921,0.13278629 0.6105106 1.8993974,-0.036116946 -0.1501053 1.6926408,-0.020078188 0.22420594 1.7350351,-0.09445445 0.5742837 1.8042463,0.006693758 0.6865513 1.8640326,-0.005221055 -0.73014265 1.5922527,0.13166234 -0.7875063 1.5618253,0.10084322 -0.8149539 1.5947156,0.012245387 -0.78811413 1.6703227,0.093779474 -0.8138147 1.5459425,-0.025037177 -0.79405653 1.5185138
