Pelvis,SpineNavel,SpineChest,Neck,ClavicleLeft,ShoulderLeft,ElbowLeft,WristLeft,HandLeft,HandTipLeft,ThumbLeft,ClavicleRight,ShoulderRight,ElbowRight,WristRight,HandRight,HandTipRight,ThumbRight,HipLeft,KneeLeft,AnkleLeft,FootLeft,HipRight,KneeRight,AnkleRight,FootRight,Head,Nose,EyeLeft,EarLeft,EyeRight,EarRight
0.12545368 0.22263876 1.3014911,0.13659924 0.05925724 1.2933451,0.15497722 -0.06812851 1.2684984,0.14658391 -0.26624158 1.2462903,0.17236051 -0.23692521 1.2687706,0.28393987 -0.22692955 1.3374069,0.29299438 0.024991274 1.3683236,0.329071 0.23277439 1.3373021,0.26041722 0.28835657 1.3319011,0.32488734 0.34338966 1.38364,0.28708494 0.3509503 1.3529155,0.12252407 -0.2302247 1.2327605,0.035789255 -0.16885683 1.1751469,0.016260725 0.08916795 1.177882,0.037317716 0.3029964 1.1571616,0.039844003 0.39487767 1.1822847,0.048272274 0.48645386 1.2150104,0.07050767 0.42022395 1.1624873,0.19963546 0.22576194 1.3403481,0.13538009 0.57208145 1.2340233,0.04773604 0.89527535 1.3412834,0.09889434 1.0251024 1.2404286,0.058560707 0.21982248 1.2664521,0.008579072 0.57533336 1.1877528,-0.057645667 0.8928121 1.3329321,-0.041220173 1.0163958 1.2352045,0.15074174 -0.33896816 1.2281321,0.22657855 -0.41263193 1.1250197,0.22756448 -0.43154857 1.1728463,0.21648291 -0.38672832 1.2798176,0.18954532 -0.43582174 1.1437738,0.08752863 -0.40749675 1.2011327
0.124744475 0.22021058 1.305622,0.13710369 0.0567293 1.2988452,0.1561959 -0.07095049 1.2755728,0.14964733 -0.2695941 1.2563235,0.17501517 -0.23969594 1.2785696,0.2816696 -0.22920875 1.3547391,0.29193142 0.022632435 1.3874545,0.34166878 0.22523236 1.3428905,0.2868405 0.2929516 1.3587561,0.36171964 0.34474504 1.3985987,0.35653788 0.31888473 1.4363911,0.1253742 -0.23396824 1.2420449,0.038269572 -0.17426935 1.18306,0.016505707 0.08378592 1.18215,0.03688112 0.29747427 1.157901,0.039343625 0.39086172 1.177037,0.051493093 0.48368108 1.204958,0.06884014 0.4145515 1.1580062,0.19891296 0.22420357 1.3445615,0.15050115 0.5851838 1.2904742,0.07552164 0.91510725 1.3872021,0.13181272 1.0421361 1.2853014,0.05786349 0.21660993 1.2705085,0.00828049 0.57458496 1.202101,-0.054165795 0.900565 1.32971,-0.038017392 1.0233295 1.2307174,0.15456691 -0.3426062 1.239302,0.22836494 -0.41367087 1.1327825,0.23120332 -0.43319055 1.1803337,0.22278121 -0.3899051 1.2882712,0.19232272 -0.4377576 1.1524076,0.09164941 -0.41192785 1.2133945
0.11474259 0.21898167 1.3114754,0.12946129 0.053880915 1.3079718,0.1565799 -0.073419675 1.2829355,0.1566917 -0.27487212 1.2718705,0.1771382 -0.24315274 1.2973771,0.25579628 -0.2032809 1.3967308,0.2996381 0.010836378 1.5315663,0.3647488 0.2070062 1.5926807,0.3822723 0.29404804 1.6038264,0.36713076 0.39250806 1.6164572,0.39197394 0.33203092 1.5684739,0.13484064 -0.24009608 1.2514132,0.04862149 -0.18584198 1.1838949,0.008212492 0.07266715 1.1867174,0.03790551 0.28721926 1.1597673,0.038776215 0.3818782 1.1777208,0.059802204 0.47677812 1.194863,0.064278744 0.40558997 1.1567991,0.18383613 0.22410609 1.3602598,0.14880034 0.58229756 1.2660315,0.042877916 0.9069611 1.3649663,0.10582709 1.035263 1.2655433,0.052437916 0.21436074 1.2674844,0.02728748 0.580477 1.208865,-0.06893101 0.91036904 1.3137503,-0.040795915 1.0293744 1.2102975,0.1659115 -0.3491742 1.259349,0.23349562 -0.41095996 1.1413918,0.23471314 -0.43758914 1.1860567,0.23041822 -0.40948483 1.3003839,0.19510211 -0.4346065 1.1580783,0.0962753 -0.40883476 1.2243662
0.104580715 0.22507338 1.312289,0.12475499 0.056690767 1.3155178,0.1566908 -0.073385105 1.2943516,0.1575374 -0.2796372 1.2863017,0.17779168 -0.24672237 1.3123399,0.2597926 -0.20906377 1.4139736,0.294008 0.0068505104 1.5597041,0.3687824 0.21068047 1.5982718,0.3955897 0.29820222 1.5966461,0.39748693 0.40048635 1.5872568,0.38735855 0.3404632 1.575523,0.13557284 -0.24445353 1.2643183,0.049896263 -0.19176406 1.1900456,0.0025844388 0.07170868 1.1927361,0.037144016 0.2899112 1.1602172,0.044839565 0.3863805 1.1789564,0.06548543 0.48226687 1.2029604,0.056321084 0.41030392 1.1533096,0.17547452 0.23450679 1.3612818,0.15504368 0.6073202 1.2873867,0.043809824 0.9427822 1.3734484,0.113171235 1.0735354 1.274372,0.040652648 0.21656686 1.2681099,0.0037060715 0.5910547 1.2137967,-0.096651524 0.9328018 1.3046267,-0.06356129 1.0537127 1.1990832,0.16743058 -0.35582066 1.2749103,0.2372917 -0.40238455 1.147274,0.24022911 -0.43447167 1.1896253,0.23634845 -0.4191126 1.3091068,0.19922231 -0.42988274 1.1619071,0.09812052 -0.41530553 1.2332015
0.10220506 0.231593 1.3240886,0.12012521 0.060778245 1.3271097,0.15348506 -0.07089269 1.3068842,0.16006732 -0.2795908 1.2968925,0.17907475 -0.24598145 1.3240297,0.26000482 -0.20460683 1.4273926,0.29412308 0.018450143 1.5683846,0.3656358 0.2276359 1.6000006,0.39495233 0.31548816 1.5956656,0.39537755 0.41053513 1.5533531,0.37851036 0.35495585 1.5769979,0.1374059 -0.24434564 1.2744348,0.05321634 -0.1926198 1.1952479,0.001919385 0.0735783 1.1981701,0.035124246 0.29422486 1.1613532,0.043558434 0.3917948 1.1807142,0.06582299 0.4887724 1.2043314,0.05752814 0.4166457 1.1547297,0.16827974 0.23953766 1.3813508,0.22407925 0.61304003 1.3041155,0.09127161 0.9434419 1.3984782,0.17212835 1.0871917 1.3254353,0.04262261 0.22442895 1.2724527,0.029585868 0.6023671 1.1999545,-0.08900288 0.94288564 1.2924831,-0.041693453 1.0704232 1.1974121,0.1723919 -0.3563414 1.2849056,0.24165386 -0.39633226 1.1524599,0.24646127 -0.43038267 1.1939559,0.24469088 -0.41969764 1.3155373,0.20422518 -0.42584488 1.1669412,0.10303233 -0.41689244 1.2417392
0.10084907 0.23080927 1.3306953,0.11953678 0.06043166 1.3325648,0.15406443 -0.07106699 1.3154135,0.16018644 -0.27903232 1.300467,0.17852552 -0.24625179 1.3288721,0.2586477 -0.21117589 1.4347692,0.28729466 0.012045339 1.5756412,0.35740787 0.22186545 1.6024345,0.38066453 0.31127134 1.597427,0.37887767 0.412203 1.5731869,0.3630505 0.35148555 1.5689117,0.1383115 -0.24322811 1.278332,0.056169584 -0.18739943 1.2002228,0.002751157 0.07780282 1.2000284,0.032426123 0.29841188 1.162955,0.03153962 0.39670673 1.179093,0.05255104 0.49475986 1.1979965,0.058242995 0.42029753 1.1626207,0.16013214 0.23801504 1.3947924,0.22421251 0.6144701 1.3487462,0.09278718 0.9473809 1.432548,0.1896784 1.0905718 1.3824893,0.047390915 0.2243115 1.272896,0.04645388 0.6071475 1.2403015,-0.06373315 0.9534987 1.3169985,0.0099102035 1.0764282 1.233997,0.17254208 -0.35534927 1.2869488,0.24447906 -0.39577228 1.1564627,0.2486013 -0.42945966 1.1981779,0.24434982 -0.41802722 1.3193662,0.20698515 -0.42530572 1.1703527,0.10449123 -0.41637474 1.2428908
0.09584921 0.23229018 1.3328917,0.11625199 0.063209414 1.3353964,0.14995593 -0.06771755 1.3191588,0.16006091 -0.2739814 1.3014097,0.17800552 -0.24141823 1.3298246,0.25643393 -0.20494269 1.4353935,0.28063172 0.019733312 1.5715541,0.34871525 0.22885048 1.5973767,0.37680104 0.31610718 1.6043704,0.36800626 0.41672388 1.5833694,0.35334277 0.36081028 1.5774671,0.13729553 -0.2385699 1.2802011,0.05461423 -0.18337509 1.2035118,0.0008745677 0.07995024 1.1975993,0.027437791 0.2991978 1.1587883,0.01928959 0.39675948 1.1733938,0.044981726 0.49325314 1.1910247,0.058219217 0.4159692 1.1729262,0.15758075 0.24064003 1.3936995,0.22566418 0.6137102 1.3461268,0.095942214 0.94111353 1.4430842,0.18698686 1.0860146 1.3910886,0.040183164 0.22476076 1.2780586,0.04728462 0.6028625 1.2255775,-0.059145708 0.9460752 1.3099626,0.0055845827 1.0706397 1.2241012,0.17369974 -0.34935987 1.2867779,0.24986607 -0.39554495 1.161875,0.25280982 -0.4267724 1.2051384,0.24439937 -0.40919164 1.3245895,0.21239117 -0.4244877 1.1759373,0.10808426 -0.41284373 1.2439907
0.09834055 0.23693447 1.3209085,0.11704171 0.06959994 1.3162452,0.14282002 -0.06109321 1.2965431,0.14927615 -0.2654993 1.282658,0.16917442 -0.23297063 1.3088787,0.24539648 -0.19796598 1.4146198,0.25893992 0.025843382 1.548031,0.30712235 0.23122868 1.6067533,0.33330876 0.31693423 1.6220593,0.34219426 0.4166883 1.6026158,0.3181985 0.35984954 1.5919663,0.12586592 -0.23061934 1.262447,0.040994607 -0.17649153 1.189756,-0.012242503 0.08396113 1.1880662,0.0072323866 0.3012093 1.1480829,0.0041702744 0.39674947 1.1691791,0.0167487 0.49376786 1.1911988,0.026191548 0.424108 1.1441807,0.16880885 0.24344376 1.3699305,0.16338743 0.61000437 1.2779057,0.063779645 0.9338226 1.4032252,0.13612202 1.069402 1.3156483,0.034796186 0.23106475 1.2767032,0.044154666 0.6056527 1.2302955,-0.032685556 0.9457147 1.3384529,0.008707423 1.0644498 1.2351518,0.16093013 -0.34048897 1.2689141,0.24448845 -0.39269355 1.1535461,0.24858177 -0.4181142 1.199695,0.23443949 -0.38827905 1.314742,0.209649 -0.42287043 1.1697222,0.10349296 -0.41342232 1.2325237
0.0986336 0.24307358 1.3014542,0.115100056 0.07512802 1.2986003,0.13733031 -0.056663692 1.2801025,0.14146785 -0.26176533 1.270133,0.16221973 -0.22887361 1.2953833,0.23974678 -0.1945505 1.4007405,0.23780622 0.026092097 1.5409404,0.28669882 0.23564287 1.583852,0.32269922 0.30455536 1.6313211,0.3345242 0.40498862 1.6164032,0.29985988 0.36004245 1.6095474,0.11799287 -0.22697641 1.2496289,0.03508377 -0.17163014 1.1751908,-0.0134594925 0.09026024 1.1783988,0.0046382565 0.30968535 1.1484807,0.00018689618 0.40448064 1.1732687,0.0127048055 0.5008414 1.1988322,0.023141982 0.43425104 1.1458815,0.1732732 0.24966556 1.3441883,0.110758945 0.6091001 1.242548,0.021583326 0.9374436 1.3660038,0.076692805 1.068214 1.2598379,0.031327784 0.23712932 1.2629188,0.032325402 0.6152338 1.2502897,-0.024180353 0.9588176 1.3622316,0.009383131 1.0711033 1.2488602,0.15212622 -0.3372777 1.2576405,0.24044628 -0.38971075 1.1455743,0.2421656 -0.4155474 1.1917619,0.2230951 -0.38630027 1.3064952,0.20451158 -0.41966814 1.1599559,0.095503576 -0.40945315 1.2180599
0.0977552 0.24268548 1.2904813,0.11284049 0.0756802 1.2885734,0.13476714 -0.05500129 1.2682029,0.13635531 -0.25867927 1.2556192,0.15731366 -0.22659215 1.2811897,0.23148322 -0.18839356 1.386524,0.23886846 0.03485717 1.5191004,0.2840573 0.24179016 1.5707394,0.30998597 0.30763277 1.627175,0.3215795 0.40847307 1.6235884,0.28576416 0.36738402 1.5902334,0.11351999 -0.22355765 1.2356447,0.032811336 -0.16656145 1.1613584,-0.013622131 0.09398228 1.1645125,0.0003826898 0.3132345 1.1427609,-0.003973782 0.406852 1.1694926,-0.00827819 0.5012103 1.2018178,0.017907014 0.43713653 1.1431859,0.17308244 0.24902819 1.330873,0.106527984 0.610156 1.248646,0.020342581 0.94218314 1.3566439,0.07524126 1.0625577 1.2404332,0.029829316 0.23696597 1.2540584,0.055323347 0.6114749 1.2342454,0.01088018 0.9505172 1.357306,0.038101796 1.0647277 1.2456647,0.1460397 -0.33366597 1.2422444,0.23523554 -0.38823527 1.1332477,0.23764154 -0.41177446 1.1802388,0.21786359 -0.37818778 1.2928457,0.2003648 -0.41831034 1.1488863,0.09179804 -0.40859494 1.206212
